Unnamed,Kecamatan,Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK, Laki-Laki, Perempuan
0, BURNEH,TUNJUNG,1024,132,2630,1371,2551,2421,1800,1259,711,429,7549,7538
0, BURNEH,BURNEH,760,976,1582,831,1631,1620,1238,907,521,2956,4986,5080
0, BURNEH,LANGKAP,557,748,1449,718,1283,1346,954,678,468,2349,4089,4112
0, BURNEH,ALAS KEMBANG,251,302,703,404,668,508,415,361,248,1020,1904,1956
0, BURNEH,BANANGKAH,455,631,1306,715,1518,1152,950,640,532,2341,3995,3904
0, BURNEH,AROK,41,64,120,59,123,129,92,56,38,208,360,362
0, BURNEH,KAPOR,126,168,326,158,365,350,271,194,125,602,1043,1040
0, BURNEH,SOBIH,169,243,409,212,510,445,336,259,176,830,1370,1389
0, BURNEH,PANGOLANGAN,180,268,544,287,535,472,406,300,250,911,1583,1659
0, BURNEH,BINOH,221,357,785,402,803,563,450,338,304,1045,2129,2094
0, BURNEH,PERRENG,155,221,476,269,461,381,300,261,299,848,1413,1410
0, BURNEH,JAMBU,188,282,520,262,465,474,358,261,184,806,1510,1484
0, AROSBAYA,AROSBAYA,423,475,1004,510,953,983,912,603,396,1897,3126,3133
0, AROSBAYA,TENGKET,394,581,1040,544,987,988,793,655,399,1924,3135,3246
0, AROSBAYA,LAJING,518,724,1367,710,1467,1415,1062,683,390,2322,4211,4125
0, AROSBAYA,BALUNG,116,159,318,180,276,303,231,214,133,562,901,1029
0, AROSBAYA,GLAGGA,233,395,758,411,798,694,530,415,296,1297,2236,2294
0, AROSBAYA,PANDAN LANJANG,58,74,211,118,216,204,126,86,106,330,589,610
0, AROSBAYA,BATONAONG,220,343,723,423,729,554,486,334,304,1089,2045,2071
0, AROSBAYA,OMBUL,108,178,490,221,466,423,328,221,187,688,1285,1337
0, AROSBAYA,KARANG DUWAK,136,188,424,216,417,432,282,218,209,734,1262,1260
0, AROSBAYA,BERBELUK,270,346,700,352,710,594,510,300,255,1126,2018,2019
0, AROSBAYA,BUDURAN,151,183,403,228,417,346,292,194,113,704,1208,1119
0, AROSBAYA,TAMBEGAN,88,109,167,95,214,168,134,87,59,352,584,537
0, AROSBAYA,CENDAGAH,18,18,45,22,49,27,22,17,15,65,113,120
0, AROSBAYA,MANGKON,28,37,51,29,74,47,45,32,23,116,175,191
0, AROSBAYA,KARANG PAO,51,53,91,39,127,84,59,41,31,181,287,289
0, AROSBAYA,MAKAM AGUNG,15,15,42,11,32,41,27,14,9,61,98,108
0, AROSBAYA,DLEMER,27,71,140,72,179,179,174,169,97,393,559,549
0, AROSBAYA,PLAKARAN,56,62,101,49,159,140,80,65,43,219,380,375
0, GEGER,KOMBANGAN,456,591,1200,591,1249,1192,941,657,526,2152,3717,3686
0, GEGER,BANYONENG LAOK,472,527,1073,708,1371,1306,822,722,498,2085,3722,3777
0, GEGER,KATOL BARAT,369,428,867,533,992,958,662,436,369,1600,2750,2864
0, GEGER,DABUNG,358,514,1104,648,1147,1097,751,539,401,1949,3257,3302
0, GEGER,LERPAK,609,763,1642,934,1858,1561,1211,808,547,2928,4962,4971
0, GEGER,GEGER,449,618,1324,780,1408,1303,844,764,592,2368,3977,4105
0, GEGER,TOGUBANG,436,534,1069,627,1225,968,611,624,602,2032,3225,3471
0, GEGER,BATOBELLA,267,366,811,454,897,791,561,488,459,1468,2510,2584
0, GEGER,KAMPAK,660,948,1794,1018,1775,1880,1173,940,592,3098,5395,5385
0, GEGER,CAMPOR,365,464,841,433,856,921,691,482,353,1700,2657,2749
0, GEGER,KOMPOL,241,346,619,322,656,638,484,293,242,1139,1903,1938
0, GEGER,TEGAR PRIYAH,154,174,357,221,376,361,213,196,164,607,1101,1115
0, GEGER,BANYONENG DAJAH,270,331,623,352,767,745,544,410,366,1311,2190,2218
0, KOKOP,DUPOK,375,516,1016,592,1137,982,790,546,406,1821,3142,3218
0, KOKOP,BANDA SOLEH,139,281,639,448,722,550,404,325,232,1015,1851,1889
0, KOKOP,BATOKOROGAN,116,166,318,198,289,336,228,154,187,650,990,1002
0, KOKOP,TRAMOK,280,491,1094,651,1008,846,656,406,342,1480,2863,2911
0, KOKOP,KATOL TIMUR,431,703,1387,681,1517,1084,749,493,414,1984,3638,3821
0, KOKOP,LEMBUNG GUNONG,158,296,530,310,651,496,311,265,237,870,1572,1682
0, KOKOP,AMPARA'AN,163,241,472,290,538,410,303,220,182,753,1400,1419
0, KOKOP,KOKOP,282,433,914,566,924,638,437,321,242,1149,2358,2399
0, KOKOP,TLOKOH,453,715,1687,1009,1410,977,727,511,339,1864,3945,3883
0, KOKOP,DURJAN,732,884,2150,1375,2004,1697,1206,691,448,3154,5526,5661
0, KOKOP,MANO'AN,366,602,1201,704,1223,819,591,433,256,1507,3107,3088
0, KOKOP,MANDUNG,585,744,1651,945,1295,927,679,491,418,1809,3916,3819
0, KOKOP,BANDANG LAOK,429,620,1140,690,1137,716,661,415,307,1586,3032,3083
0, TANJUNG BUMI,PASESEH,272,386,797,366,703,811,563,487,294,1390,2258,2421
0, TANJUNG BUMI,BUMIANYAR,244,296,575,305,479,587,445,285,195,1017,1704,1707
0, TANJUNG BUMI,TAMBAK POCOK,203,293,491,292,566,483,384,271,226,847,1573,1636
0, TANJUNG BUMI,LARANGAN TIMUR,232,391,808,385,855,709,549,386,302,1357,2338,2279
0, TANJUNG BUMI,BUNGKENG,92,140,411,237,285,267,243,183,160,597,982,1036
0, TANJUNG BUMI,BANDANG DAJA,195,306,727,476,827,668,528,374,279,1200,2171,2209
0, TANJUNG BUMI,TAGUNGGUH,233,458,787,450,884,882,614,506,317,1687,2530,2601
0, TANJUNG BUMI,PLANGGIRAN,212,405,745,416,835,824,554,428,268,1537,2308,2379
0, TANJUNG BUMI,AENG TABAR,83,176,334,186,352,362,238,187,109,609,991,1036
0, TANJUNG BUMI,BANYUSANGKA,224,322,692,306,585,646,536,415,183,1234,1893,2016
0, TANJUNG BUMI,TLANGOH,102,188,324,195,387,325,304,218,173,675,1092,1124
0, TANJUNG BUMI,MACAJAH,225,358,874,433,773,869,704,458,331,1560,2459,2566
0, TANJUNG BUMI,TANJUNG BUMI,330,621,1287,596,1078,1246,936,626,426,2289,3463,3683
0, TANJUNG BUMI,TELAGA BIRU,162,243,491,223,391,485,378,294,142,921,1365,1444
0, SEPULUH,SEPULU,271,434,979,492,800,861,724,664,421,1711,2723,2923
0, SEPULUH,MANERON,194,264,625,342,560,606,520,416,301,1113,1883,1945
0, SEPULUH,GANGSEYAN,144,159,405,198,335,321,282,228,226,675,1119,1179
0, SEPULUH,KLAPAYAN,211,325,738,356,755,683,451,391,393,1192,2087,2216
0, SEPULUH,BANGSEREH,152,194,377,192,361,377,255,200,194,642,1122,1180
0, SEPULUH,KELBUNG,346,502,1036,556,1138,1119,853,612,472,1916,3280,3354
0, SEPULUH,SAPLASAH,90,159,342,189,418,354,246,179,189,570,1039,1127
0, SEPULUH,GUNILAP,204,374,768,451,1020,807,584,414,317,1320,2493,2446
0, SEPULUH,KALABETAN,126,249,454,246,486,587,342,277,253,846,1471,1549
0, SEPULUH,BANYIOR,135,234,466,245,422,525,360,353,237,900,1429,1548
0, SEPULUH,PRANCAK,169,262,599,372,513,604,484,431,262,1051,1824,1872
0, SEPULUH,LABUHAN,62,89,193,106,191,173,151,136,67,330,567,601
0, SEPULUH,TANAGURA BARAT,100,112,244,118,226,236,173,121,118,392,747,701
0, SEPULUH,LEMBUNG PASESER,76,99,199,111,173,163,167,111,68,341,589,578
0, SEPULUH,TANAGURA TIMUR,67,98,199,103,180,196,191,109,113,374,623,633
0, KLAMPIS,KLAMPIS BARAT,148,204,499,280,415,468,481,345,229,944,1532,1537
0, KLAMPIS,BULUK AGUNG,210,346,630,357,705,688,581,455,391,1304,2144,2219
0, KLAMPIS,MRANDUNG,114,154,374,168,277,340,322,215,209,646,1061,1112
0, KLAMPIS,TOBADDUNG,100,122,307,143,295,301,267,227,215,579,959,1018
0, KLAMPIS,TOLBUK,77,134,228,107,239,241,186,155,141,465,714,794
0, KLAMPIS,MOARAH,133,257,514,249,437,511,400,309,228,814,1482,1556
0, KLAMPIS,RA'AS,59,77,139,65,139,150,82,66,75,251,431,421
0, KLAMPIS,POLONGAN,58,89,163,82,151,150,125,87,89,296,479,515
0, KLAMPIS,KARANG ASEM,37,50,99,55,100,93,105,72,66,203,323,354
0, KLAMPIS,TROGAN,101,137,271,150,283,320,222,199,148,543,899,932
0, KLAMPIS,BULUNG,115,168,384,196,361,395,299,248,162,637,1158,1170
0, KLAMPIS,BANTEYAN,190,220,581,279,514,595,489,388,287,962,1708,1835
0, KLAMPIS,BRAGANG,196,332,620,367,656,679,529,503,442,1173,2116,2208
0, KLAMPIS,LER GUNONG,208,305,619,333,629,602,445,378,247,1154,1860,1906
0, KLAMPIS,PANYAKSAGAN,185,269,574,325,639,590,464,435,483,996,1911,2053
0, KLAMPIS,MANONGGAL,86,142,305,159,280,275,245,225,171,544,907,981
0, KLAMPIS,BATOR,273,371,747,358,680,793,588,466,331,1369,2252,2355
0, KLAMPIS,KLAMPIS TIMUR,97,120,287,167,258,328,284,183,179,571,920,983
0, KLAMPIS,TENGGUN DAJAH,261,373,759,431,735,740,488,370,370,1295,2242,2285
0, KLAMPIS,LARANGAN SORJAN,102,150,290,134,281,265,204,161,117,526,827,877
0, KLAMPIS,LARANGAN GLINTONG,137,221,462,232,360,467,320,297,248,804,1367,1377
0, KLAMPIS,KO'OL,136,177,335,171,345,312,297,210,143,616,1037,1089
